id,FRP,DENOMINATION, CREDIT D'IMPOT,Montant,LEVEE
1,202796,TRES HAUTS DE SEINE AM,0.0,"2 868,70",O
2,202796,TRES HAUTS DE SEINE AM,0.0,32350,O
3,202796,TRES HAUTS DE SEINE AM,0.0,7500,O
4,202796,TRES HAUTS DE SEINE AM,0.0,7500,O
5,202796,TRES HAUTS DE SEINE AM,0.0,30280,O
6,202796,TRES HAUTS DE SEINE AM,0.0,5250,O
7,202796,TRES HAUTS DE SEINE AM,0.0,7500,O
8,202796,TRES HAUTS DE SEINE AM,0.0,88400,O
9,203268,TRES HTS SEINE AMENDES,0.0,18900,O
10,203268,TRES HTS SEINE AMENDES,0.0,"2 007,00",O
11,203268,TRES HTS SEINE AMENDES,0.0,"1 634,20",O
12,203268,TRES HTS SEINE AMENDES,0.0,40000,
13,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
14,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
15,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
16,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
17,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
18,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
19,203268,TRES HTS SEINE AMENDES,0.0,20000,
20,203268,TRES HTS SEINE AMENDES,0.0,20000,
21,203448,TRES. HAUTS DE SEINE A,0.0,27300.0,O
22,203662,TRES.92 AMENDES/ALLIAN,0.0,50840.0,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
