id,FRP,DENOMINATION, CREDIT D'IMPOT,Montant,LEVEE
1,202796,TRES HAUTS DE SEINE AM,0.0,"2 868,70",O
2,202796,TRES HAUTS DE SEINE AM,0.0,32350,O
3,202796,TRES HAUTS DE SEINE AM,0.0,7500,O
4,202796,TRES HAUTS DE SEINE AM,0.0,7500,O
5,202796,TRES HAUTS DE SEINE AM,0.0,30280,O
6,202796,TRES HAUTS DE SEINE AM,0.0,5250,O
7,202796,TRES HAUTS DE SEINE AM,0.0,7500,O
8,202796,TRES HAUTS DE SEINE AM,0.0,88400,O
9,203268,TRES HTS SEINE AMENDES,0.0,18900,O
10,203268,TRES HTS SEINE AMENDES,0.0,"2 007,00",O
11,203268,TRES HTS SEINE AMENDES,0.0,"1 634,20",O
12,203268,TRES HTS SEINE AMENDES,0.0,40000,
13,203268,TRES HTS SEINE AMENDES,0.0,23400,
14,203268,TRES HTS SEINE AMENDES,0.0,23400,
15,203268,TRES HTS SEINE AMENDES,0.0,7800,
16,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
17,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
18,203268,TRES HTS SEINE AMENDES,0.0,"1 234,00",
19,203268,TRES HTS SEINE AMENDES,0.0,23400,
20,203268,TRES HTS SEINE AMENDES,0.0,23400,
21,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
22,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
23,203268,TRES HTS SEINE AMENDES,0.0,14300,
24,203268,TRES HTS SEINE AMENDES,0.0,14300,
25,203268,TRES HTS SEINE AMENDES,0.0,3400,
26,203268,TRES HTS SEINE AMENDES,0.0,8700,
27,203268,TRES HTS SEINE AMENDES,0.0,"2 340,00",
28,203268,TRES HTS SEINE AMENDES,0.0,"2 340,00",
29,203268,TRES HTS SEINE AMENDES,0.0,1200,
30,203268,TRES HTS SEINE AMENDES,0.0,94800,
31,203268,TRES HTS SEINE AMENDES,0.0,5000,
32,203268,TRES HTS SEINE AMENDES,0.0,9400,
33,203268,TRES HTS SEINE AMENDES,0.0,2300,
34,203268,TRES HTS SEINE AMENDES,0.0,5000,
35,203268,TRES HTS SEINE AMENDES,0.0,9400,
36,203268,TRES HTS SEINE AMENDES,0.0,2300,
37,203268,TRES HTS SEINE AMENDES,0.0,5000,
38,203268,TRES HTS SEINE AMENDES,0.0,9400,
39,203268,TRES HTS SEINE AMENDES,0.0,2300,
40,203268,TRES HTS SEINE AMENDES,0.0,5000,
41,203268,TRES HTS SEINE AMENDES,0.0,9400,
42,203268,TRES HTS SEINE AMENDES,0.0,2300,
43,203268,TRES HTS SEINE AMENDES,0.0,5000,
44,203268,TRES HTS SEINE AMENDES,0.0,9400,
45,203268,TRES HTS SEINE AMENDES,0.0,2300,
46,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
47,203268,TRES HTS SEINE AMENDES,0.0,"4 000,00",
48,203268,TRES HTS SEINE AMENDES,0.0,20000,
49,203268,TRES HTS SEINE AMENDES,0.0,20000,
50,203448,TRES. HAUTS DE SEINE A,0.0,27300,O
51,203662,TRES.92 AMENDES/ALLIAN,0.0,50840.0,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
0,0,,0.0,,
